ulasan,label
"fitur blokir sering banget hilang, sudah klik profilnya tapi tidak ada menu profil pengguna, dan tiga titik kanan atas pun gabisa di klik.",2
bagus sih tapi kenapa ya saat mau di ambil itu foto udah unduh tapi malah gak masuk ² udah di coba keluar+masuk untuk unduh lagi eh tapi malah gak bisa di masuk di galeri gimna sih 🙄,2
"ini aplikasi fav sya yng ke-3, klo aplikasi fav ke-2 spotify 🤓 ,, udh gtu aj si oh y stu lgi krna di sc (snap chat) bnyk orng dwsa jdi sya krang menyukai ny mkan ny itu sya jdiin aplikasi fav ke-3 😅",3
filternya bagus semua gak ada yang jelek dan pelayanan nya bagus perfect👌👌👌,5
"menginstal nya lama bgt min, diperbaiki ya, pdahal udah ga sabar buat foto-foto tapi selama ini, jadi gajadi lah, sempat badmood..",3
"aku mau tanya, ini aku barusan beli hp baru, hp redmi note 14 5G kenapa ya di hp ini notifikasi snapchat nya gak muncul? padahal udh diaktifkan semua dari setelan sampai notifikasi di apk snapchat itu sendiri. bagi yg tau solusinya tolong dong bantuuu 🙏🙏🙏😭😭😭",4
"bagus sih filter nya, bagus bgt malaahh, tapi mau kirim ke galeri atau WhatsApp selalu ga bisa, ribet gitu, kayaknya aku ketinggalan hehe😅🙏🏻",3
bagus sekali efek nya dan bisa menyimpan banyak foto sangat bagus dan berguna sekali aplikasi nya cocok buat yg suka foto foto an luar biasa sekali,5
"apk nya bagus bngttt,aku sukaaa banyak filter yang lagi viral , cuman satu kekurangan GK bisa disimpen ke galeri ,tapi aku tetep kasih bintang lima karna bagusss bngttt",5
"Gimana ini kenapa aku tidak bisa menyimpan ke geleri ku.dah masih banyak lagu bug yang mengganggu,tolong di perbaiki lagi🙏",3
wah ini aplikasi nya bagus tapi buat hp kita penuh dengan iklan 😌kan saya GK bisa main epep kalau kaya gitu,4
"apikasinya sudah bagus cuman kalau mau foto gitu pasti suka ngelag,filternya cuman putih doang gitu jadi say kasih bintang 3 dulu",3
"ini bagus tapi kenapa ya kalo ini ku hapus terus aku download lagi kenapa masih ada akun nya harusnya gak ada namanya,, ini namanya masih sperti semula☹️",2
trimakasih snapchat telah menciptakan aplikasi yangg bagus banget dan filter nya kerenn² btw kalian jangan ragu untuk download karena kalian tidak akan rugi,5
"kenapa waktu camera fokus ke target lelet bener gerakan nya,ujung² nya hasil nya tidak memuaskan",3
"setelah di-update tidak bisa melihat siapa saja yang melihat Story, padahal sebelumnya bisa ... kirim laporan Gmail juga tidak dibalas:(",1
filter bawaan snapchatnya gabisa kalo diarahin ke muka filternya stuck harus cepet dibenerin ini,1
enak banget buat foto foto apa lagi kalo filter nya udah di download offline juga bisa,5
"nge bug mulu, kalau dikeluarin masuk lagi layarnya jadi item",3
aplikasi ini cocok buat yng suka foto krna efek nya banyak bangetttt,5
saya suka sekaliiii fiturnya lain kali tolong buat filter yg bagus lagii yaaa makasih 🙏,5
"baguss bgt, lucuu lucuu filter nyaaa, tapii suka bnyk notif gituu srn kontak gitu gitu ,walaupun udh tolak jngn ada notif tpi kek muncul mulu pas buka apk snapchat nyaa bjil tapi gapapaa sii hehehhehe",5
"okeii, app nya baguss, banya efek yang aku cari cari selama ini, pokonya mah bagus, aku sukaa app nya tpi masih enakan makan mie ayam🤭",5
ini sangat popular tapi kita harus nunggu yang lama kalo mau download aplikasi ini dari tadi saya sudah menunggu nya tetapi belum bisa saya sangat penasaran kenapa aplikasi ini sangat popular di tik tok,5
"snapchat lumayan buat foto² atau video dengan efek yang ada di snapchat, dan lagian juga download nya cepet, menginstal nya lebih cepet banget, itu sih emangnya hp aku yang bagus😁🫰",5
"udh bagus, tp lebih bagus kalo di tambhin yang foto tata letak 4 itu, sama banyak in efek yaa.",5
"bagus wei, tapi kenapa si org org luar sana itu suka ngirim foto kaya ga penting bgt jir. aku buka chat isinya spam foto dia sendiri keseharian dia. kek apaan gapenting, tolong snapchat privasinya ditingkatkan lg",4
"bagus, efeknya keren mantep dee, tp suka loding padahal jaringan bagus.",5
"semua filter nya bagus,tpi ya itu kyk ada vidio""bangor dan ngapain cba ada chat chat sya harap semua nya di apus biairn ada untuk poto nya aja gitu",2
aplikasi nya udah bagus dan perfect tapi kadang kadang foto nya ilang ilang jadi udah effort banget eh ilang jadi bete tapi bagus si aku rate 5.8/10,5
"baguss pake bngtt, minusnya g ada cra pakek nya sama buat yimpen poto nya jadi pas awal bukak jadi bingung karna g tau gmana cra yimpen pto nya.",3
aplikasi apa ini baru juga kemarin udah keluar lagi error apa gimana sih padahal saya udah 3 kali bikin akun tapi sama juga keluar Mulu di perbaiki dongg🙏🏻🙏🏻,2
"menginstal ny lamaa banget, aku udh ngguin satu jam lebih, apk ini emang sudah bagus tapi lebih bagus lagi kalo menginstal nya cepet",2
"aplikasi untuk yang sekarang baguss polll...tapiii untuk yang dulu filter nya rata""jelek""..tapi untuk yang sekarangg 100% bagussss dehhh...inii akuu kasii bintangg 3 aja dulu yaawww",3
blum 1 jam abis down snapchat nya udh ga bisa login masuk lgi kok gitu sih keluar sendiri padahal mau login sandi udh bener tpi ttp ga bisa tolong konfirmasi nya,1
lumayan bagus tapi filter nya sedikit jadi boleh lah aku kasi bintng 4 karna filter nya,4
ga bisa masuk padahal baru sekali di bilang ny berkali kali pas masukin password ny kata ny aktivitas mencurigakan semoga di perbaiki deh snapcat,1
"aplikasi nya bagus,efeknya juga lucu lucu,cuma kadang foto fotonya ga ke simpen",4
aplikasi nya sih bagus tapi pas menginstal nya lama banget kaya nunggu Barca 6 ucl,4
snapchat kadang suka error jadi tolong di perbaiki yah kalo mau buat aplikasi tolong periksa aplikasi nya biar gak error lagi kecewa banget,1
"snapchat nya bagus apa lagi filternya cucok pisan, gak tau mau komen apa lagi dah pokoknya snapchat filter nya baguss",4
appk udah bagus tpi filter nya agak kurang karena klo di simpan di album kadang filter nya ke hapus😃,4
"snapchat ini tuhh bener bener bagus,, kita bisa foto foto ngedit foto dll bagus dehh pokoknya",5
"bagus banget sumpah, dikit dikit layar item,mau saya rusak ini hp. tingkatkan,sampe semua apk layar hitam.",1
"udah nunggu dari td ga ke instal"",padahal gasabar mau coba,lah malah ga ke instal""lama banget,dari pas saya sebelum mandi sampai saya selesai bersih bersih rumah tetep saja ga ke instal,tolong di perbaiki lagi.mks",1
"ini kenapa menginstalnya lama banget,kayak lagi nunggu makanan belum matang aj,daritadi menginstal terus. cape aku nungguinnya",1
bagus sekali keren banget jadi semakin yalin kalo poto,5
"Saya nunggu dari tadi kok lama bgt.. padahal udah menginstal dari jam 18.20 tapi kok saya tinggal 10 menit belum selesai.. sampai jam 18.42, padahal jaringan full ga ada gangguan sama sekali, mohon di perbaiki.. kalau udah nanti saya kasih bintang 5 deh",2
"untuk aplikasi nya ini udh bagus pje bgt bgtt,tapi ada beberapa filter klo di unduh/simpan ke galeri efek nya ilang,jadi kaya foto biasa aja.",5
"Aplikasinya udah bagus,akan lebih bagus lagi jika ditambahkan menu translate untuk chat seperti aplikasi dating sebelah itu lho...itu hanya masukan saja,,dr smuanya sudah oke",5
saya suka Snapchat filternya bagus dan bisa menambah banyak teman satu tolong tambah untuk pilihan musiknya.. sudah lama menggunakan aplikasi ini seru..,5
"snapchat sedikit bgt efek nya jdi klo mau foto gitu jelek karna efek nya itu ga cocok di aku,klo aku saranin tambahin ya efek nya biar lebih banyak pilihan gtu klo mau foto,,tpi klo tentang aplikasi nya bagus sihh aku kasih bintang 4 karna masih ada apk yg klo di pke bikin ngelag",4
"Kadang kalo mau unduh foto yang sama trus ditambah filter dari snap selalu gepeng fotonya, jadi tolong diperbaiki bug nya",1
aku suka banget sama aplikasi ini soal nya membantu foto aku jadi bagus sih pokok nya debest banget sama aplikasi ini,5
kenapa gabisa daftar ya disnapchatnya?? bacaannya kenlokir terus,5
"kenapa aku gak bisa log in ataupun daftar akun baru ya, tolong dong snap chat",1
aplikasi sangat bagus banget bisa buat selfi ☺️☺️☺️,5
"apk nya bagus, filternya aku suka, TPI risih suka ada notif gtu bikin ngeganggu 🙏🗿🗿",5
seru dan bagus filternya cocok ke muka ku cuman fotonya harus di ss dulu,4
aplikasi ini bagus tapi kenapa filternya jelek jelek bagusin dong,3
bagus tapi gimana ya agk lag tapi gapapa bagus kok hasilnya,5
aku udh premium tp tema nya malah ga full layar,2
"baguss bgt buat fotoo pko nyaa bagus untuk di gunakan ber-selfie,berfoto",5
gila nih apk masa iya gw udh buat akun 2× malah keluar terus tolong dong gimna ini,1
bagus deh pokok nya kerena ini app aku bisa dapat teman luar negri,5
"bagus bett,suka banget sama hasil foto""nya lucu jg vilter2 nya cocok deh buat aku yg modelnya begini🤭",5
aplikasi nya udah bagusss tapi agak ngelek filter nya mungkin TDK semua cuman beberapa🙏🏻🙏🏻❤️,4
"bagus banget, filterny juga bgus bagus polll mirip kayak tiktok",5
bagus sekali bisa keliatan imut gitu muka ku kalo pake apk ini,4
"Kenapa saya tidak bisa masuk akun saya dengan nama pengguna. Awalnya karena dinonaktifkan sementara karena saya coba berulang kali dengan kata sandi yg salah. Sekarang saya tidak masuk dan tidak bisa rubah kata sandi saya dengan mencantumkan nama pengguna saya, padahal sudah 20hari. Apakah akun saya sudah dinonaktifkan permanen?",3
"ni apk sensi bgt jir padahal gua ga ngapa""in malah kekunci, mana 2 kali lagi 😮‍💨",1
akhir-akhir ini agak susah dipake aplikasi nya🙏🏻,2
"aplikasi banyak pedofil, hati hati yang punya anak download aplikasi ini, postingannya menjurus ke hal yang berbau dewasa, di kemas dengan anak kecil yang 18+",1
Efek nya bagus bngettttt apalagi yg kacamata + kumis huhhh lopp lopp😍🤍,5
"ini cocok untuk saya,filter nya juga pada bagus bagus",5
dari tadi menginstal nya lama kaya nunggu thr aja menginstal terus padahal jaringan full internet kok menginstal nya lama belum juga pake mungkin kalo udah pake udah ku kasih bintang 10 bila ada,1
kerennnn sukaaa bangett sama iniii apk nya baguss top deh pokoknyaa,5
di aplikasi ini banyak efeknya bagus sih,2
apk ini sangat bagus sekali untuk foto foto,5
"dikit"" ke lock padahal banyak yang lebih parah",2
bagus dn cocok untuk yg suka foto' saya suka app snapchat,5
bagus banget filter nya,5
saya udah login kenapa nga bisa berfoto foto kenapanya informarsinya tolong,5
aku suka sama aplikasi ini tapi aku ga bisa memasukan foto ke galeri saya,4
bagus untuk sarana komunikasi,4
stikernya banyak dan lucu!,5
karna dapat berbagai macam filter yang cantik dan lucuu,5
"ini knp ya menginstal trus, nah kan aku tinggal dlu, mau liat wa tiba tiba malah hrus nge instal ulang",3
Bagus sih bagus tapi ngeleg ya keluar sendiri pas mau masukin sandi nyaa kenapa yaa gays,5
kenapa saya login malah gabisa? pdhl jringan ada,1
sangat bagus untuk berfoto filter nya bagus bgt wajib di download sih👍🏻,5
"Aplikasi nya bagus, filternya juga banyak. Terus filternya juga bagus bagus jadi ngk bosen buat foto"". Tp tolong kasih timer buat foto dong, biar kalo mau foto sendiri ngk susah😀. Terus tolong tambahin filter"" kayak di ig, yang filter langsung ada lagu nya. Tapi saya tetep kasih bintang 5 kok😃",5
"Sebenarnya sih udah bagus yah app nya cuma saya saranin kualitas nya di tambahkan seperti filter nya jangan yang kek anak kecil gitu loh, kebanyakan filter nya gak berfaedah 😅 kek mending yang bikin glowing tapi ga terlalu glow trs di wajah juga pas kek natural gitu pokoknya. Ok semoga bermanfaat buat yang mau download",5
"Secinta itu sama snapchat karna setiap video atau foto ga pecah kualitasnya bagus bgt kalo di save ke galeri juga tetep bagus gambar dan videonya walaupun pake android. Tapi tambahanya kasih fitur buat ""save"" filter-filter favorit biar filter filternya ga ilang ilangan bisa dipake terus tanpa harus di cari dulu, dan kalo ada org yang bikin filter orangnya bisa kita add untuk kita bisa tau klo dia bikin filter baru yang bagus lg. Semoga fitur snapchat lebih asik dan snapchat semakin berkembang.",5
"Mohon maaf ya,, cuma rekomendasikan aja ,,bisa gak resolusinya bisa jangan full layar,, soalnya gambar nya agak beda pas udah difoto,, beda sama efek nya,, dan juga dibikin kek kamrea bawan ,,resolusinya bisa di atur ,,full layar sama tidak full layar,, kalau bisa gitu,, bagus ni aplikasi👌",5
"appnya emang cukup bagus dan menarik tapi ada juga yang beberapa kekurangan, adakalanya ada bug yang muncul. tetapi yang pada ngasih ulasan itu ada masalah apa?! setiap app yang saya mau install ada aja yang bilaang apknya bagus!!!! ngapain lihat kebawah kan kubilang baguus...... ada masalh apa??! jangan cerita disini😕",5
filter nya sangat bagus,5
"Apk nya bagus sih,apalagi untuk ciwi ciwi yg suka foto:v,cantekk karna filter:v,jujur ini apk nya bagus banget,tapi knp ya?pas aku edit foto ku tiba"" suka keluar sendiri,terus ada beberapa filter yg lag,ini aku doank yg kaya gini?,mohon diperbaiki:(🙏.",4
bagus dan pas saat di pakai,5
"Aplikasi nya bagus banget aku suka,.efek² juga g kalah sma efek Instagram lho☺️ pokok nya ni apk berguna banget bisa buat video, bisa buat video slowmo, tpi sayang nya gk bisa buat Boomerang.. coba di kasih Boomerang pasti makin banyak peminatnya,, sayang kan efek² nya bagus tapi g bisa buat Boomerang.. ya udh ya itu aj ulasan dari aku.. Salken ""Lady Avanza Dhelux"" (Vaza) di Palembang.. Wassalamu'alaikum Terimakasih ☺️🙏🙏",5
kok kebanyakan update ny lama lagi,1
"ini kenapa tiba tiba akun saya hilang dan malah di curigai padahal saya tidak melakukan apapun, tolong perbaiki!",1
Aplikasi nya lemot efek nya juga kurang bagus² hapus ajah aplikasi nya ga berguna aplikasi nya min,1
"aplikasi ini bagus bagus bgt malah, cuma notif nya ituloh berisik bgt, hehe",4
"Saran saya untuk update kedepannya mohon di tambahkan fitur pengaturan penyesuaian kualitas unggahan video/foto. Contohnya seperti Instagram, mereka punya pengaturan kualitas rendah - tinggi unggahann media. Soalnya setiap saya mengunggah video kualitas HD, pasti hasilnya blur.",3
aku suka dengan aplikasi ini tetapi kenapa kebanyakan yang aku temui umur nya sangatlah tua,3
"Saya sangat menyukai fitur pesan yang menghilang secara otomatis dan beragam filter yang menyenangkan. Pengalaman pengguna yang intuitif membuatnya menjadi aplikasi yang wajib dimiliki untuk berbagi momen-momen kreatif dengan teman-teman. Bravo, Snapchat!",5
"Saya sangat menyukai fitur pesan yang menghilang secara otomatis dan beragam filter yang menyenangkan. Pengalaman pengguna yang intuitif membuatnya menjadi aplikasi yang wajib dimiliki untuk berbagi momen-momen kreatif dengan teman-teman. Bravo, Snapchat!",5
"cuma mau bilang bug bug nya tolong di benerin ya soalnya aku baru pertama banget main ini sebenarnya ga boleh sihh,tapi pingin nyoba ajaa gituu...terus kurangin iklan sama bug nya yaa",3
kesel tidak bisa login akun lama karena katanya mencurigakan padahal hafal nama akun sama password terus ngapain buat bikin. no hp lama sama emailnya pun udah g aktif🥲,1
filter nya bagus²banget sama cool²,5
"baguss bngtt filter filter nyaa,makin lama makin baguss update an nyaa sukaa❤",5
"Foto+video di snapchat saya tdk bisa dibuka, ada tulisan ""ups! Terjadi kesalahan"". Ini sdh seminggu begitu, dishare gk bisa, disimpan juga gk bisa selalu kesalahan. Sudah di update jg gk bisa, dan tiba² terlog out setibanya masukan kata sandi hilang semua foto&video🥲 banyak kenangan foto&video disnapchat yg blm sempat tersimpan ke galeri😭 setibanya mau disimpan terjadi kesalahan dan malah hilang. Tolong lebih diperbaiki lagi aplikasinya, agar kalau log out trs log in kmbli foto tdk hilang🥲😭",1
"Bisa bisa nya akun ku di kunci pdahal g pernah ngelakuin pelanggaran atau spam, aneh banget trus kalo kita mau cari akun jga susah banget ga semua nya di liatin kita cari siapa yang si kaish liat siapa aneh banget",2
"Lumayan bagus Tp perbaiki supaya kita bisa lihat org nya aktif atau gak,kayak zenly bergelombang gitu,trs udah berapa lama gak aktf kita tau Trs batrey nya supaya kita bisa tahu Dan waktu di CAS jg Trs WAKTU tiba di lokasi nya BRAPA MENIT klu bisa ada,kayak di zenly SATU lagi Kasih WAKTU berapa lama teman kita tidak AKTIF Kenapa kalau selama 8 jam tidak di buka Posisi teman kita hilang Tolong perbaiki,biar kita bisa lihat posisi teman kita terus",5
Kok pas udah jadi aku buat akun ada tulisan biru aktifkan terus nggak bisa kebuka,1
bagus banget filter nya ada yang lucu dan juga ada yang bagus,5
sangat seru untuk foto dan fotonya buat jj,5
maaf ya bukan bermaksud untuk marah tapi saya suda berapa kali simpan ko GK ada ya di. galeri saya kesal hehehehehhehehehe,1
"tolong lah ini ngebug, stuck di logo awal ga bisa login",1
apk bagus sihh tapi kenapa Susah banget loading nya ya,1
"bagus bgt aku suka,tapi tiap detik muncul iklan nya bikin emosi.",3
serasa di TT dan filter buat foto bagus,5
"Woww sangat bagus karena efek2 nya sangat bagus"" dan keren, dan apk ini offline tidak menggunakan wifi/kuota. Kecuali saat mendonload, yahhhhh mungkin hanya itu aja yang bisa aku bilang, dannnn jangan lupa untuk donload yahhhh. Trimakasih dan salam sehat😊😊",5
Aplikasi nya bagus tapi banyak orang yg terlalu ngetag kita dan filter nya hanya itu itu ajah dan yg terakhir jika saya sedang memilih fikter tiba² filter nya langsung bergeser yg sangat cepat itu yg bikin saya mengeluh tolong di perbaiki terlalu baik lagi ya🙏,4
bagusss bgttt apkkknyaa tpi tolong apk ini sering ada bugnya jdi akh ksi bintng 3,3
Aplikasinya yg SANGAT RECOMMENDED UNTUK KALIAN YANG SUKA BELAJAR BAHASA INGGRIS + PENGEN NYARI SAHABAT PENA DARI LUAR NEGRI 👍🏻 . Thank you SnapChat 😊 .... I get many new friends because of you 😘 ... Cuma mungkin user-interface nya masih sedikit membingungkan bagi yang belom biasa,5
"bagus sih, tapi belakangan ini notifikasi nya gak muncul kalo kita gak buka aplikasi. terus pesan pesannya juga gak muncul kalo kita gak buka room chatnya, alhasil dari luar keliatan masih bekum kebaca padahal kalo dibuka room chatnya dia udah replay. Ayo dong diperbaiki, jangan jadi malah down gini :(",3
"Aplikasi ini sangat bagus, saya tidak menyesal karena telah mengunduh aplikasi ini. Filter-filternya sangat bagus dan lengkap. Saya juga bisa mengedit Avatar saya dengan banyak item-item menarik. Pokoknya aplikasi ini bagus sekali!👍 Tapi terkadang aplikasi ini sering macet dan nge-leg, tapi terkadang juga tidak macet. Terimakasih.",5
Sebenernya lucu snapmapnya .. Tp kenapa harus buka aplikasi dulu biar muncul di snapmap.. Klo ga gitu gak muncul di snapmap.. Beda banget sama zenly.. Kapan aja cek lokasi pasti akurat .. Tolong diperbaiki dong ..,3
efek efek nya bagus'lucu'lagi wajib cobain nih apk,5
"suka sama ini, filternya juga bagus, tpi tolong aja semoga filter yg game itu bisa terdaftar banyak, karena banyak banget filter game (sebelah kiri) itu kalo udh agak lama ada perbaruan filter game. Dan ini agak membosankan sih buat snapgram, obrolan, status di sini. Semoga cepat diperbaiki ya, makasih",4
"Sumpah ini bagus bgt!!!!efek nya itu Lo much gua pake apk ini gatau knp jdi seneng bat gtu dan gua bisa nemuin efek yg udah lama gua cari ga ktmu,eh trnyta ada di snapsc aduhh duh🎉🖤tapi gua kecewa sedikit karna ga bisa ada suara nya klo kita bicara mohon bantuannya ya bagaimana cara biar bisa kembali lagi suara nya!!thanks❣️",5
"Fitur"" dalam aplikasi snapchat sangat bagus"" cuma kadang yg bkin pani kecewa itu pas Download. Suka kek gagal"" gitu. Atau mungkin jaringan di daerahnya pani ya. Tpi pani suka banget sama Aplikasi snapchat ini. Pokoknya in reccomend banget buat klian:).",4
"Masih kurang puas dengan aplikasi ini.. filternya suka hilang"".. klo bisa tambahin tempat favorit gitu dong.. jd filter favorit gak hilang.. gapapa tiap hr beda filter asal yg sudah d tandai favorit gitu gak hilang.. huu kecewa saya..",3
"Filter nya bagus semuanya ada,pake snapchat foto juga jadi cerah walau tempat nya gak begitu terang,dan bisa di timer,tapi kalo misalnya aku cari filter nah udah aku pake filter nya kan biasa nya ada tuh filter nya kesimpen gitt di depan yang biasa buat filter tapi pas aku mau pake filter itt lagi filternya dah kaga ada tapi tetep bagus deh bener bener ngebantu 😇sorry kalo ada kata²yang menyinggung dan aku juga bukan nya menjelekkan apk lain",5
"Apknya mantul banget,hasil fto nya jg bagus banget good deh:') filter nya ok,kalo bosen filternya itu"" mulu bisa cari sendiri, apalagi kita bisa chat sama temen.. dan kita juga bisa main loh...jadi bagi kalian yang download pasti gk nyesel.., dijamin deh apk nya mantul , gk ribet , dan ok banget buruan downloadddd buruan...............Sampe bagusnya komennya pada panjang kalian jangan terkecoh sama komentar yang bintangnya 1,2 dan 3 karna ini beneran mantul banget buruan download thank you🖤 😉",5
"Bagus bangett, banyak efeknya bisa cari efek tambahan. Karna hp ku kentang dan ngga bisa pake efek instagram, jadi ak memilih dwnload ini. Solusi bangett sih ini, andai aja ak rekomenin ada boomrang di snapchat ini pasti lebih suka lagi. Makasihh",5
"Aplikasinya bagus, tapi kenapa ada beberapa efek kalau digunakan videonya nge lag salah satunya efek cryng, sebagai informasi saya gunakan Android, ram 8 versi android 11, sudah uninstall dan instal kembali tapi tetap sama",4
"Hai semua! Aku kasih bintang lima sebab aplikasi ini bagus banget buat foto dan edit foto. Filter nua bagus bagus dan banyak.buat kalian yg gak tau gimana caranya nyimpan ke galery,gini caranya. Kalian tekan lama tombol untuk menyimpan. Lalu akan muncul memory dan roll, tekan lalu udh deh.",5
"Aplikasi nya bagus, bagi kalian yang ngeluh kalau foto kesimpen kalian bisa tekan lama ""simpan"" setelah itu kalian pilih salah satu, semua nya bisa kesimpan ke galeri kalian kok kecuali, kalian enggak tekan lama dan pilih salah satu :) Thank you From:indonesia.",5
"filter lumayan bagus, cuma orng² yng ada disnapchat nya rasis dan ngirim vidio yang 18+,",1
𝘀𝘂𝗸𝗮𝗮𝗮𝗮 𝗯𝗴𝘁𝘁𝘁 𝘁𝗮𝗽𝗶 𝗮𝗸𝘂 𝗴𝗮 𝘀𝘂𝗸𝗮 𝗻𝗮𝗻𝘁𝗶 𝗮𝗱𝗮 𝗲𝗳𝗲𝗸 𝘀𝗲𝗿𝗲𝗺𝗺,4
ga bisa ber kata kata pokonya bagus,5
bagus banget buat foto foto,5
bagus banget buat poto² SMA video,5
"Kenapasi setiap buka aplikasinya selalu ga muncul gambar Bitmoji di profil ataupun di maps, padahal udah buat Bitmoji:). Giliran buat lagi malah gabisa disimpen, kan jadi serba salah!!!",1
"bagus tapi, vidio nya gak lengkap, jadi aku Kase ret1soalnya kurang di,",1
Aplikasi nya bagus 👍 cuman ada sedikit bug sekarang kalo mau foto pasti filter yg aku sering pake ilang filter yg gak pernah aku pake malah muncul nanti kalau bisa gak usah pake data biar offline aja!! Kurang lebihnya minta maaf kalau ada perkataan yang kurang enak di baca 🙏,4
"Aplikasi ini punya filter yg lucu-lucu dan mudah digunakan. Namun terkadang beberapa filter tidak muncul di layar, mohon diperbaiki. Untuk bitmoji, sangat bagus karena bisa dikustom semau kita. Untuk kedepannya lebih baik lagi 👍",4
"Aplikasi nya bagus banget aku kasi bintang lima deh! Aplikasi kalau buat foto bagus banget tapi bosen filter nya itu² aja kalau bisa filter nya di perbanyak lagi ya supaya lebih keren lagi,baru itu jangan terlalu banyak filter yang tutupin muka yaw!!",5
"Jujur suka banget pkk apk ini semua lengkap kecuali gak bisa bikin vidio yang ada lagu nya gitu,dan banyak yg bilang kalo di fitur ini gak ada timer ini ada kok kalian pencet fitur lainnya dan ada dan buat kalian yg bilang poto atau vidio nya gak ke simpen kalian teken yg untuk nyimpen nya trs ada simpan ke memori Nah di situ ada dua kata kata simpan ke memori pilih yg pertama,sebelum menilai sebaiknya di coba"" dulu",5
"Udah bagus sih tapi sayang nya , gak bisa semua, coba tambahin fitur-fitur lainnya dong tim snapchat , masa cuman bisa menyimpan foto saja, coba tambahin fitur bisa menyimpan foto & video dong biar tambah seru dan bagus tambahin PLEASEEE!!!! & tambahin fitur-fitur yang kurang lagi!!!!",3
Sumpah!! Apk nya bagus banget😋✨ biasanya kalau foto pakai kamera biasa kurang bagus kalaau pakai apk ini super bagus dah!! Gak nyesel yang download😍 Apalagi efek nya banyak banget😋 tapi ada satu masalah yaitu download efek nya lama:( padahal sinyal nya bagus😴,5
Apk nya bagus banget bisa kirim pesan dan foto' dengan filter yang bagus dan nyeleneh dan aku sangat senang dengan tempat curhat bagi yang belum tau di snapchat juga bisa untuk curhat kontak yang bisa buat kalian curhat juga bisa di namain sendiri sama kalian bagus banget sih menurut aku apk snapchat ini sangat membantu.,5
"Awal nya sempet binggung gak ketemu stiker nya ternyata harus ketuk wajah baru keluar stiker nya, aplikasi nya bagusss banget, saran semoga kedepan nya stiker nya di tambah biar lebih bagus lagi 😘😘😍😍 oh ya yg bingung gimana nyimpan nya di bagian bawah kiri kan ada tulisan simpan tinggal klik itu 😊",4
kenapa setelah di update jadi tidak bisa ultra wide,4
"Jujur aplikasi ini sudah cukup bagus menurut saya, tapi entah kenapa tiba-tiba terjadi eror dibagian memori sehingga saya tidak bisa melihat foto dan video yang tersimpan disana, setiap ditekan muncul kalimat ""Ups Terjadi kesalahan, coba lagi!"" Belum lagi foto dan video tersebut hanya tersimpan di memori tidak tersimpan di rol kamera. Sehingga tidak ada salinannya. Mohon diperbaiki developer, Terima kasih 🙏",2
Aplikasi nya bagus karena terdapat berbagai filter. Namun setelah saya update terdapat bug yang dimana saat foto atau videonya telah disimpan tetapi malah menjadi hitam. Tolong diperbaiki. Terimakasih.,3
